nom,date,enddate,distance,dplus,dminus,description,region,departement,lat,lng,raceDistances,raceName
Triathlon de Saint-Cirq Lapopie,2024-09-21,2024-09-22,112900,0,,"""Lapopie du pianiste""",Occitanie,Lot,44.464672,1.669032,"[25750, 49500, 225995]",Triathlon L
Forca'Run,2024-09-22,2024-09-22,5000,0,,,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,43.9501467,5.765006899999999,[],Forca'Run
"Marathon, 10 et 20 km de Tours",2024-09-22,2024-09-24,10000,0,,,Centre-Val de Loire,Indre-et-Loire,47.3891252,0.694282,"[42195, 42195, 20000]",Course 10 km
Light on Tri Madine,2024-09-22,2024-09-22,50750,0,,,Grand Est,Meuse,48.943392,5.7557011,[25500],Triathlon M
Les randos d'Henry,2024-09-22,2024-09-24,12000,0,,,Normandie,Calvados,49.27717,-0.456465,"[15000, 80000, 55000, 35000]",Trail semi-nocturne
Triathlon du Lac de Champos,2024-09-22,2024-09-22,51500,0,,,Auvergne-Rhône-Alpes,Drôme,45.124889,4.984646,"[12800, 25750]",Triathlon M
Trail Lys-Haut-Layon,2024-09-22,2024-09-22,17500,0,,,Pays de la Loire,Maine-et-Loire,47.1386072,-0.4563037,"[10000, 11000]","Trail 17,5 km"
Ma'dame run,2024-09-22,2024-09-22,5000,0,,,Grand Est,Bas-Rhin,48.5734053,7.752111299999999,[],Marche 5 km
Triathlon de Châteauneuf la Forêt,2024-09-22,2024-09-22,25750,0,,,Nouvelle-Aquitaine,Haute-Vienne,45.713108,1.606463,"[10300, 51500]",Triathlon S (Solo/ Relais)
Bagnoles Normandie Trail,2024-09-22,2024-09-24,100000,1850,,Les clefs de Bagnoles,Occitanie,Aude,43.271535,2.4381339,"[21000, 8000, 42000, 21000, 12000, 42000]",Ultra Trail
Les Foulées du Château,2024-09-23,2024-09-23,10000,0,,,Auvergne-Rhône-Alpes,Ain,46.289428,5.158728,"[5000, 18000, 11000]",Course des As
Ride & trail in ocre,2024-09-23,2024-09-24,14000,0,,Un trail orangé ,Provence-Alpes-Côte d'Azur,Vaucluse,43.8806932,5.3163072,"[7000, 7000]",Marche 14 km
Trail de l'Ours,2024-09-23,2024-09-23,9000,450,,,Bourgogne-Franche-Comté,Jura,46.3899721,5.860323699999999,[19000],Trail 9 km
La Skyrhune,2024-09-23,2024-09-23,21000,1700,,Let's touch the Skyrhune,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.345172,-1.621327,[],Skyrhune
Ultimate Man lac de Narlay,2024-09-23,2024-09-23,6700,185,,,Bourgogne-Franche-Comté,Jura,46.617992,5.8815966,[],"Trail 6,7 km"
Corrida de Dieppe,2024-09-23,2024-09-23,7000,0,,Il n'y a pas que le cerf-volant à Dieppe,Normandie,Seine-Maritime,49.9032172,1.0783307,[],Course sur route 7 km
La Bougarbersienne,2024-09-23,2024-09-23,8000,250,,,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.39857,-0.473059,"[17000, 11000, 11000]",La Corseta
Les Foulées de la Norges,2024-09-23,2024-09-23,5000,0,,,Bourgogne-Franche-Comté,Côte-d'Or,47.39781199999999,5.104693999999999,[10000],Course sur route 5 km
Roazhon Run,2024-09-23,2024-09-24,8000,0,,Tout donner comme un rennais ! ,Bretagne,Ille-et-Vilaine,48.1143843,-1.6694938,"[10000, 10000, 1500]",Roazhon Entreprises
X Trail Corrèze Dordogne,2024-09-23,2024-09-23,53000,2060,,Les joies du X trail de A à Z,Nouvelle-Aquitaine,Corrèze,45.093356,1.93755,"[26000, 26000, 14000, 10000, 10000, 103000, 103000, 37000, 14000]",Grand Trail des Tours
Trail du Sancy Mont-Dore Caisse d'Epargne ,2024-09-23,2024-09-24,10400,750,,Puissance 4 !,Auvergne-Rhône-Alpes,Puy-de-Dôme,45.5438914,2.8179355,"[63500, 35500, 17900]",La Dorée Trail
La Basti'Trail,2024-09-23,2024-09-23,31700,2120,,,Auvergne-Rhône-Alpes,Isère,45.1906081,5.726845,"[5400, 17100]","Le Tour des Chartreux 31,7km"
Challenge 24hd+,2024-09-23,2024-09-23,1800,300,,,Auvergne-Rhône-Alpes,Isère,45.272098,5.966031,[],Challenge 6 heures
La Castelrun,2024-09-23,2024-09-23,7000,0,,,Pays de la Loire,Vendée,46.8493459,-0.8278213999999999,[14500],Petite Castel
Course de la Corniche Vendéenne,2024-09-23,2024-09-23,21000,0,,,Pays de la Loire,Vendée,46.720204,-1.945917,"[14000, 7000, 7000, 8000]",Course sur route 21 km
La Noctambule Thiezacoise,2024-09-23,2024-09-23,14600,435,,,Auvergne-Rhône-Alpes,Cantal,45.030115,2.677936,"[27600, 27600]",Terre de nuit
Seine Marathon 76,2024-09-23,2024-09-24,5000,0,,Seinesations fortes garanties ! ,Normandie,Seine-Maritime,49.4415347,1.0912631,"[42195, 42195, 21097, 10000]",Né pour bouger by Matmut
Run'apte Nature,2024-09-23,2024-09-23,6000,0,,,Pays de la Loire,Vendée,46.5970227,-1.4529163,"[23000, 12000, 12000]",Trail 6 km
Courir à Digoin,2024-09-23,2024-09-23,10000,0,,,Bourgogne-Franche-Comté,Saône-et-Loire,46.4849234,3.9893346,[],Course sur route 10 km
Trail de Nantes à Montaigu,2024-09-23,2024-09-23,53000,630,,"De Nantes à Montaigu, la digue la digue ! ",Pays de la Loire,Loire-Atlantique,47.21627489999999,-1.5487708,"[22000, 103000]",La Digue
La ligne droite,2024-09-23,2024-09-23,5000,0,,,Centre-Val de Loire,Eure-et-Loir,48.439575,1.466895,[],Course la grande ligne droite 5 km
Défi du jerzual,2024-09-23,2024-09-23,5900,75,,"Dis oui, Dinan",Bretagne,Côtes-d'Armor,48.454366,-2.047327,"[11000, 5500]","Trail 5,9 km"
Trail des Aiguilles Rouges,2024-09-24,2024-09-24,8500,0,,Ça pique à Chamonix,Auvergne-Rhône-Alpes,Haute-Savoie,45.923697,6.869433,"[16000, 55000]","Trail 8,5 km"
Trail des Fonds de Cayenne,2024-09-24,2024-09-24,42000,0,,"Alluets, gentils Alluets ",Île-de-France,Yvelines,48.9646526,1.8707273,"[26000, 14000]",Trail 42 km
10km de Saint-Martin d'Hères,2024-09-24,2024-09-24,5000,0,,,Auvergne-Rhône-Alpes,Isère,45.165133,5.767761,[10000],Course sur route 5 km
Ruée des Fadas - Lyon,2024-09-24,2024-09-24,8000,0,,Viens te ruer comme un fada,Auvergne-Rhône-Alpes,Rhône,45.7605474,4.861117699999999,[],Course d'obstacles 8 km
Les Virades de l'Espoir,2024-09-24,2024-09-24,10000,0,,Vaincre la mucoviscidose ! ,Hauts-de-France,Somme,49.88796,2.343814,[5000],Trail 10 km
La Rochoise,2024-09-24,2024-09-24,9000,0,,,Auvergne-Rhône-Alpes,Isère,45.588367,5.16013,"[18000, 3000, 1600, 14000]",Marche 9 km
La Guebwilleroise,2024-09-24,2024-09-24,6500,0,,Tous ensemble contre le cancer du sein,Grand Est,Haut-Rhin,47.911586,7.209336,[11000],"Marche 6,5 km"
Foulées Viroises,2024-09-24,2024-09-24,5000,0,,,Normandie,Calvados,48.8377627,-0.8902726,[10000],Course sur route 5 km
Course nature de Laize Clinchamps,2024-09-24,2024-09-24,7500,0,,,Normandie,Calvados,49.044835,-0.324735,[13000],"Trail 7,5 km"
Trail des Sangliers,2024-09-24,2024-09-24,13500,340,,"Marcassins aux pieds, direction le Trail des Sangliers !",Bourgogne-Franche-Comté,Doubs,46.9041039,6.354241999999999,"[14200, 9600, 9600, 23100, 14200, 9600, 43500]","Marche 13,5 km"
Vin'Scène en Bourbonnais,2024-09-24,2024-09-24,43000,0,,Vin te mettre en Scène,Auvergne-Rhône-Alpes,Allier,46.568059,3.334417,"[25000, 15000]",Trail 43 km
10 km d'Angers,2024-09-24,2024-09-24,10530,0,,Maine la danse,Pays de la Loire,Maine-et-Loire,47.47,-0.5599999999999999,[10000],"Marche nordique 10,53 km"
Course des Remparts de Bayonne,2024-09-24,2024-09-24,10000,0,,Tout est bon à Bayonne,Nouvelle-Aquitaine,Pyrénées-Atlantiques,43.492949,-1.474841,[],Course sur route 10 km
La nojambee,2024-09-24,2024-09-24,11000,0,,,Centre-Val de Loire,Eure-et-Loir,48.321762,0.8217759,[5000],"Course 10,2 km"
Semi-Marathon Hermitage Saint-Joseph,2024-09-24,2024-09-24,21097,0,,,Auvergne-Rhône-Alpes,Drôme,45.07219509999999,4.8397739,[],Semi-Marathon
La Course des Remparts,2024-09-24,2024-09-24,6000,200,,,Auvergne-Rhône-Alpes,Isère,45.7244699,5.2504289,"[12000, 12000]",Trail 6 km
Course des Terrils,2024-09-24,2024-09-24,25000,290,,Au charbon ! ,Hauts-de-France,Nord,50.4081011,3.4998523,"[9000, 16000, 55000]",Trail 25 km
Hostens Trail,2024-09-24,2024-09-24,12000,650,,Hostens en emporte le vent ! ,Nouvelle-Aquitaine,Gironde,44.493528,-0.639667,[27000],Duo à la Noix
Foulées d'automne,2024-09-24,2024-09-24,10000,0,,,Pays de la Loire,Maine-et-Loire,47.4695081,-0.6234109999999999,"[5000, 15000]",Course sur route 10 km
Semi-marathon du Lion,2024-09-24,2024-09-24,10000,0,,Le roi de la course,Bourgogne-Franche-Comté,Territoire de Belfort,47.63967400000001,6.863849,"[21097, 5000, 21097]",Le 10km en Joëlette
Trail du Petit Saint-Paulien,2024-09-24,2024-09-24,5000,100,,Petit mais aussi Grand,Auvergne-Rhône-Alpes,Ardèche,44.340084,4.151281,[15000],"5 km pour Tous - 5,5 km"
Tour des Crus du Beaujolais,2024-09-24,2024-09-24,12000,200,,In vino veritas,Bourgogne-Franche-Comté,Saône-et-Loire,46.2141751,4.7575648,"[42000, 25000, 25000]",AlenTour Des Crus 12 km
Les Foulées du Pont,2024-09-24,2024-09-24,10000,0,,,Pays de la Loire,Loire-Atlantique,47.2734979,-2.213848,[5000],Course sur route 10 km
